sample,excitation_props,repetitions,collection_time_point,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,excitation_intensity,excitation_polarization,trigger_intensity,trigger_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x000002D6F21BBB20>,<__main__.ExcitationProperties object at 0x000002D6F21BE2F0>,10,20.022003718155844,1851.0,25.620304447839803,773.7,25.103983747604683,2624.7,44.85989300031822,2.394332753939927,0.06562552519183187,20230530_131434,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BE140>
<__main__.SampleProperties object at 0x000002D6F21B35B0>,<__main__.ExcitationProperties object at 0x000002D6F21BEC80>,10,20.729217795953712,1888.8,34.77585369189375,775.8,25.4668411861385,2664.6,46.79786319908207,2.4369132399819944,0.08159010654203847,20230530_131442,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BA9E0>
<__main__.SampleProperties object at 0x000002D6F21BF7F0>,<__main__.ExcitationProperties object at 0x000002D6F21BFC70>,10,21.461411978584035,1878.7,42.412380268030226,763.1,17.207265907168402,2641.8,43.944965581964,2.463355245033028,0.08336382582184147,20230530_131450,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BFF40>
<__main__.SampleProperties object at 0x000002D6F21BFB80>,<__main__.ExcitationProperties object at 0x000002D6F21C1540>,10,22.21946860939524,1898.2,57.84254489560431,783.1,25.061723803441776,2681.3,62.84910500556074,2.4263577636033618,0.10402353974970714,20230530_131459,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BFDF0>
<__main__.SampleProperties object at 0x000002D6F21BF100>,<__main__.ExcitationProperties object at 0x000002D6F21C2020>,10,23.00430119772918,1881.8,43.86524820401681,769.7,22.06830306117804,2651.5,57.159863540774836,2.446128346652614,0.0675855760965942,20230530_131509,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21C2380>
<__main__.SampleProperties object at 0x000002D6F21BF7F0>,<__main__.ExcitationProperties object at 0x000002D6F21C3460>,10,23.81685551976158,1901.2,37.96261318718721,767.7,26.974246977441283,2668.9,51.286352960607374,2.4790578380027726,0.08755766752658328,20230530_131519,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BF4C0>
<__main__.SampleProperties object at 0x000002D6F21BF100>,<__main__.ExcitationProperties object at 0x000002D6F21C31C0>,10,24.658110758226027,1852.9,32.64797084046725,769.3,24.584751371531095,2622.2,30.596731851621016,2.4115550410353537,0.1010063830480881,20230530_131529,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21C3640>
<__main__.SampleProperties object at 0x000002D6F21BF4C0>,<__main__.ExcitationProperties object at 0x000002D6F21C34C0>,10,25.529080682395165,1879.1,26.017109754928583,761.8,33.88450973527579,2640.9,34.03365980907725,2.4720943193620073,0.12631025469094528,20230530_131538,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BFA60>
<__main__.SampleProperties object at 0x000002D6F21C1D20>,<__main__.ExcitationProperties object at 0x000002D6F21C3610>,10,26.430814869741056,1888.4,48.08991578283331,771.8,22.771912523984454,2660.2,53.75462770776112,2.448772155305768,0.09350042331881782,20230530_131548,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21C3730>
<__main__.SampleProperties object at 0x000002D6F21C33A0>,<__main__.ExcitationProperties object at 0x000002D6F21C36A0>,10,27.364399970746707,1909.6,23.732677893571136,763.2,37.85181633686817,2672.8,50.12344760688355,2.5076234938261335,0.11529961438519909,20230530_131559,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21C3790>
<__main__.SampleProperties object at 0x000002D6F21BF670>,<__main__.ExcitationProperties object at 0x000002D6F21C34F0>,10,28.330961018393243,1905.5,43.95964058087827,766.1,28.2398654387729,2671.6,57.165024271839506,2.4901468632107924,0.09647304945634812,20230530_131610,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21C3910>
<__main__.SampleProperties object at 0x000002D6F21BF100>,<__main__.ExcitationProperties object at 0x000002D6F21C38B0>,10,29.331662783900438,1911.5,44.45503346079047,780.3,27.32050511978137,2691.8,62.65907755465285,2.4516598243038343,0.07562918702465471,20230530_131623,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BF7F0>
<__main__.SampleProperties object at 0x000002D6F21C31C0>,<__main__.ExcitationProperties object at 0x000002D6F21C3040>,10,30.367711180354576,1890.4,44.00727212632022,756.6,22.352628480784983,2647.0,38.10249335673455,2.5015666505271605,0.11347617438075215,20230530_131639,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21C36A0>
<__main__.SampleProperties object at 0x000002D6F21BF670>,<__main__.ExcitationProperties object at 0x000002D6F21C3A30>,10,31.440354715915,1890.7,38.53582748560098,771.4,35.76366871561138,2662.1,51.54890881483332,2.456528198456019,0.12991593263732212,20230530_131653,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BFA60>
<__main__.SampleProperties object at 0x000002D6F21BFDF0>,<__main__.ExcitationProperties object at 0x000002D6F21C3970>,10,32.55088599835058,1907.7,38.215311067685946,782.3,23.79936973955403,2690.0,38.47076812334269,2.4413189958943122,0.10125771119710704,20230530_131708,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21C31C0>
<__main__.SampleProperties object at 0x000002D6F21BF4C0>,<__main__.ExcitationProperties object at 0x000002D6F21C3670>,10,33.700643292719285,1900.6,46.409481789823936,779.3,31.64190259766312,2679.9,67.05139819571251,2.441693470398645,0.08707558899251946,20230530_131722,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BF640>
<__main__.SampleProperties object at 0x000002D6F21BF100>,<__main__.ExcitationProperties object at 0x000002D6F21C34C0>,10,34.891012134067715,1908.2,54.2582712588597,759.1,37.00662102921584,2667.3,55.544666710675294,2.520361745369757,0.1504205564141609,20230530_131736,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21C2EC0>
<__main__.SampleProperties object at 0x000002D6F21BFDF0>,<__main__.ExcitationProperties object at 0x000002D6F21C3460>,10,36.12342699709432,1917.7,41.19235365938683,779.5,36.48081687681898,2697.2,61.120863868240605,2.465341990944168,0.12181359861705039,20230530_131751,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21C3400>
<__main__.SampleProperties object at 0x000002D6F21C1720>,<__main__.ExcitationProperties object at 0x000002D6F21C25C0>,10,37.39937302478798,1932.9,68.88025841995659,771.5,38.307310007360215,2704.4,75.75513183936782,2.5119165873487153,0.15838211103312144,20230530_131805,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21C31C0>
<__main__.SampleProperties object at 0x000002D6F21BF670>,<__main__.ExcitationProperties object at 0x000002D6F21C3B20>,10,38.72038781812555,1914.4,46.26272797836288,763.4,19.688575367456124,2677.8,42.07564616259625,2.510057893491839,0.10564170843988246,20230530_131823,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21C36A0>
<__main__.SampleProperties object at 0x000002D6F21C3910>,<__main__.ExcitationProperties object at 0x000002D6F21C3970>,10,40.08806328898465,1907.0,48.942823784493676,748.6,27.968553770261344,2655.6,52.215323421386564,2.55138424542018,0.12313950553946165,20230530_131836,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21C34F0>
<__main__.SampleProperties object at 0x000002D6F21BF640>,<__main__.ExcitationProperties object at 0x000002D6F21C37F0>,10,41.504047578504746,1945.1,42.970804041814255,768.4,24.413930449642887,2713.5,59.32495259163719,2.533034490010123,0.07126497503749771,20230530_131849,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21BFDF0>
