molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,280000,280.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5758,1946,9668,2.9614402674026996,0.12170864990863946,280026.3806948178,0.03462176857101808,20230508153149,1,280025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,290000,290.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5754,1948,9711,2.9660224712727894,0.22847974467232543,290026.39285320585,0.04170890810279785,20230508153203,1,290025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,300000,300.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5717,2011,9717,2.848006746545167,0.1508961665285719,300026.3648481282,0.034886247180540134,20230508153217,1,300025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,310000,310.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5775,1957,9588,2.9579957604211122,0.17726026003411088,310026.3820517651,0.03852055400946208,20230508153230,1,310025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,320000,320.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5502,1827,9168,3.017854813653245,0.15701968083468254,320026.3716690227,0.0567226750438016,20230508153244,1,320025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,330000,330.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5244,1838,8884,2.868177480704024,0.21849891360732843,330026.3925696364,0.07043693908309659,20230508153259,1,330025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,340000,340.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5301,1887,8936,2.8100389844524676,0.07543518805620993,340026.40855620004,0.06390793478807638,20230508153314,1,340025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,350000,350.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5100,1784,8610,2.8708907768987104,0.23053936542177977,350026.3432409068,0.026436553072020256,20230508153329,1,350025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,360000,360.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,4971,1658,8281,2.998139773476821,0.0414183312259758,360026.36355978245,0.04189186736849154,20230508153344,1,360025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,370000,370.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,4839,1644,8071,2.9467564584946464,0.1265760247572308,370026.376355305,0.057181402092458915,20230508153400,1,370025
