sample,excitation_props,repetitions,collection_time_point,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,excitation_intensity,excitation_polarization,trigger_intensity,trigger_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x0000029D7E382E00>,<__main__.ExcitationProperties object at 0x0000029D7E383010>,50,1050.0,2023.72,45.446249570234066,717.74,23.125578911672676,2741.46,56.897876937544865,2.8219206514320443,0.09452991046905408,20230530_134542,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383130>
<__main__.SampleProperties object at 0x0000029D7E383430>,<__main__.ExcitationProperties object at 0x0000029D7E382590>,50,1100.0,2031.76,52.294382107450126,713.14,23.976663654478703,2744.9,59.84154075556545,2.8520140688389706,0.11499384769831296,20230530_134744,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E3830A0>
<__main__.SampleProperties object at 0x0000029D7E383370>,<__main__.ExcitationProperties object at 0x0000029D7E3835B0>,50,1150.0,2023.42,51.006309413640196,717.48,26.97127360730301,2740.9,56.93935370198717,2.824256118641062,0.1308913116718233,20230530_134952,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E382CE0>
<__main__.SampleProperties object at 0x0000029D7E37E1D0>,<__main__.ExcitationProperties object at 0x0000029D7E3834F0>,50,1200.0,2029.32,36.242207438289405,720.9,24.011039127867832,2750.22,42.36096788318227,2.81818324763573,0.10824593532459992,20230530_135158,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E382590>
<__main__.SampleProperties object at 0x0000029D7E381ED0>,<__main__.ExcitationProperties object at 0x0000029D7E383280>,50,1250.0,2029.82,44.07978675084534,720.84,27.931602173881828,2750.66,53.95094438469081,2.8200019621848957,0.1221861262172236,20230530_135405,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E382FE0>
<__main__.SampleProperties object at 0x0000029D7E383220>,<__main__.ExcitationProperties object at 0x0000029D7E383610>,50,1300.0,2020.42,47.69028831953106,709.98,28.839895977620998,2730.4,61.10842822393651,2.849839569569227,0.11972824394769944,20230530_135610,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E382A10>
<__main__.SampleProperties object at 0x0000029D7E383670>,<__main__.ExcitationProperties object at 0x0000029D7E381ED0>,50,1350.0,2033.68,48.63144661636131,718.54,27.723066208484227,2752.22,54.622445935714005,2.834853887450967,0.13721793540510582,20230530_135819,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E382C80>
<__main__.SampleProperties object at 0x0000029D7E381EA0>,<__main__.ExcitationProperties object at 0x0000029D7E3830A0>,50,1400.0,2028.92,49.01421834529242,711.22,28.383297905634574,2740.14,58.621501174910215,2.856993784708949,0.12762552554992176,20230530_140029,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E382CE0>
<__main__.SampleProperties object at 0x0000029D7E37E320>,<__main__.ExcitationProperties object at 0x0000029D7E382920>,50,1450.0,2025.92,45.718635150231684,715.48,26.18796670228523,2741.4,54.823717495259295,2.83511198878978,0.11573345317193005,20230530_140239,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383610>
<__main__.SampleProperties object at 0x0000029D7E382890>,<__main__.ExcitationProperties object at 0x0000029D7E383520>,50,1500.0,2015.6,40.085907748234916,729.16,21.16257073230944,2744.76,46.37739104348152,2.766531167017356,0.09546411225256217,20230530_140453,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383430>
