molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,580000,580.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,6647,2203,11106,3.022665948447624,0.13669422079959584,580026.3905159011,0.0577909865552759,20230508180450,1,580025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,590000,590.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,6340,2166,10683,2.9414203419665563,0.21479659190272485,590026.3560980456,0.06917424723490943,20230508180548,1,590025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,600000,600.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,6239,2111,10477,2.9720385460579886,0.23726741435835466,600026.4252510102,0.07069855139829292,20230508180649,1,600025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,610000,610.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,6087,2063,10216,2.9726403818366762,0.2966970676035275,610026.3648440507,0.07665288739490525,20230508180744,1,610025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,620000,620.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5840,1890,9757,3.104261979963151,0.2604518757666634,620026.3868000836,0.0707414027284635,20230508180841,1,620025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,630000,630.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5759,1986,9747,2.911673064277326,0.2349869471031095,630026.3630226727,0.060106590154193305,20230508180935,1,630025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,640000,640.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5727,1963,9628,2.927420499909677,0.22320724847712672,640026.391618673,0.07611413078102196,20230508181036,1,640025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,650000,650.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5733,1839,9463,3.1378493242283243,0.3087484666900118,650026.3838694744,0.0940336574507735,20230508181133,1,650025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,660000,660.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5544,1883,9299,2.9684678878457227,0.2916056486288155,660026.41862323,0.04501019106981819,20230508181232,1,660025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,670000,670.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,5431,1836,9134,2.9638196657361524,0.15039631955803123,670026.347714494,0.06231391576185778,20230508181329,1,670025
